No,Link
75,https://news.detik.com/berita/d-6707501/kmp-royce-1-terbakar-di-laut-merak-3-korban-dilarikan-ke-igd?pk_vid=b9277c572f02caa9175799143046444d
76,https://news.detik.com/berita/d-6707250/penumpang-kmp-royce-1-terbakar-di-laut-merak-dievakuasi-ada-korban-luka?pk_vid=b9277c572f02caa9175799143646444d
77,https://news.detik.com/berita/d-6707005/kapal-feri-terbakar-di-laut-merak?pk_vid=b9277c572f02caa9175799144346444d
78,https://www.detik.com/sumut/berita/d-6698130/harga-tiket-jadwal-penyeberangan-ferry-batam-singapura-mei-2023
79,https://finance.detik.com/berita-ekonomi-bisnis/d-6689210/digitalisasi-tiket-kapal-feri-tutup-celah-calo-penumpang-bisa-sat-set?pk_vid=b9277c572f02caa9175799145646444d
80,https://finance.detik.com/foto-bisnis/d-6679871/momen-warga-mudik-dengan-kapal-feri-di-pelabuhan-merak?pk_vid=b9277c572f02caa9175799146146444d
81,https://finance.detik.com/berita-ekonomi-bisnis/d-6671219/ingat-beli-tiket-kapal-feri-sudah-tak-bisa-langsung-di-pelabuhan?pk_vid=b9277c572f02caa9175799147446444d
82,https://finance.detik.com/berita-ekonomi-bisnis/d-6664467/pelabuhan-ciwandan-dan-panjang-beroperasi-saat-mudik-lebaran-2023?pk_vid=b9277c572f02caa9175799147846444d
83,https://www.detik.com/bali/berita/d-6655547/asdp-siapkan-49-kapal-feri-gilimanuk-ketapang-angkut-pemudik
84,https://finance.detik.com/berita-ekonomi-bisnis/d-6653424/tiket-kapal-feri-buat-mudik-bisa-dipesan-online-jangan-percaya-calo?pk_vid=b9277c572f02caa9175799149446444d
85,https://news.detik.com/internasional/d-6646692/bertambah-31-orang-tewas-dalam-insiden-kapal-feri-terbakar-di-filipina?pk_vid=b9277c572f02caa9175799150346444d
86,https://news.detik.com/internasional/d-6646046/kapal-feri-terbakar-hebat-di-filipina-12-orang-tewas-dan-7-hilang?pk_vid=b9277c572f02caa9175799150946444d
87,https://finance.detik.com/berita-ekonomi-bisnis/d-6636603/beli-tiket-kapal-feri-di-aplikasi-bakal-beda-harga-dengan-beli-langsung?pk_vid=b9277c572f02caa9175799152046444d
88,https://www.detik.com/jatim/berita/d-6626137/santri-situbondo-yang-tercebur-ke-laut-saat-mudik-bareng-ke-madura-selamat
89,https://www.detik.com/jatim/berita/d-6626112/santri-situbondo-tercebur-ke-laut-saat-mudik-bareng-ke-kepulauan-madura
90,https://www.detik.com/sumut/berita/d-6569449/akses-transportasi-tak-memadai-jadi-kendala-majukan-pariwisata-pulo-aceh
91,https://www.detik.com/bali/berita/d-6500656/angin-kencang-dan-gelombang-tinggi-pelabuhan-gilimanuk-ditutup
92,https://www.detik.com/bali/nusra/d-6483347/asdp-labuan-bajo-klaim-penumpang-memahami-buka-tutup-pelayaran
93,https://www.detik.com/bali/nusra/d-6483210/cuaca-buruk-kapal-feri-labuan-bajo-sape-cari-celah-waktu-berlayar
94,https://www.detik.com/jatim/berita/d-6478224/urai-kepadatan-antrean-jumlah-kapal-feri-di-pelabuhan-ketapang-ditambah
95,https://finance.detik.com/berita-ekonomi-bisnis/d-6461565/mau-naik-kapal-feri-saat-libur-nataru-beli-tiketnya-harus-online-ya?pk_vid=b9277c572f02caa9175799162146444d
96,https://finance.detik.com/berita-ekonomi-bisnis/d-6397159/jelang-ktt-g20-asdp-siagakan-48-kapal-di-lintas-ketapang-gilimanuk?pk_vid=b9277c572f02caa9175799162746444d
97,https://finance.detik.com/berita-ekonomi-bisnis/d-6351791/tarif-baru-angkutan-penyeberangan-berujung-polemik?pk_vid=b9277c572f02caa9175799163346444d
98,https://finance.detik.com/berita-ekonomi-bisnis/d-6350806/tarif-baru-penyeberangan-diprotes-pengusaha-kemenhub-harus-wajar-adil?pk_vid=b9277c572f02caa9175799163946444d
99,https://finance.detik.com/infografis/d-6318225/tarif-baru-penyeberangan-dengan-kapal-feri?pk_vid=b9277c572f02caa9175799164546444d
100,https://news.detik.com/foto-news/d-6257869/begini-kondisi-kapal-feri-filipina-usai-terbakar?pk_vid=b9277c572f02caa9175799165546444d
101,https://news.detik.com/internasional/d-6257726/kapal-feri-filipina-terbakar-hebat-80-orang-berhasil-diselamatkan?pk_vid=b9277c572f02caa9175799640946444d
102,https://news.detik.com/internasional/d-6148320/kapal-feri-terbakar-di-filipina-1-orang-tewas-1-hilang?pk_vid=b9277c572f02caa9175799641546444d
103,https://20.detik.com/detikflash/20220523-220523076/tujuh-orang-tewas-setelah-kapal-pesiar-terbakar-di-filipina?pk_vid=b9277c572f02caa9175799642146444d
104,https://news.detik.com/internasional/d-6090602/kapal-feri-angkut-124-penumpang-terbakar-di-filipina-7-orang-tewas?pk_vid=b9277c572f02caa9175799642846444d
105,https://finance.detik.com/berita-ekonomi-bisnis/d-6090138/penumpang-mudik-kapal-feri-berkurang-turun-8-dari-tahun-2019?pk_vid=b9277c572f02caa9175799643346444d
106,https://www.detik.com/bali/nusra/d-6060633/tinggalkan-tas-penumpang-loncat-dari-feri-diduga-gangguan-jiwa
